Company Name,Lead Partner,Primary Investor Type,Primary Industry Sector
C12,Svetoslava Georgivea,Venture Capital,Information Technology
C12,Didier Valet,Venture Capital,Information Technology
PlayMakers (Entertainment Software),Hugues Ouvard,Angel (individual),Information Technology
PlayMakers (Entertainment Software),Sebastien Borget,Angel (individual),Information Technology
PlayMakers (Entertainment Software),Vincent Keating,Angel (individual),Information Technology
Mistral AI_,Elad Gil,Angel (individual),Information Technology
Mistral AI_,Eric Schmidt,Angel (individual),Information Technology
Bioptimus,Edward Kliphuis,Venture Capital,Healthcare
Bioptimus,Xavier Niel,Angel (individual),Healthcare
Unseenlabs,Etienne Moreau,Venture Capital,Business Products and Services (B2B)
Pennylane,Thomas Stafford,Venture Capital,Information Technology
Pennylane,Luciana Lixandru,Venture Capital,Information Technology
Pixee Medical,Alban Nenert,Venture Capital,Healthcare
Jow,Christian Leybold,Venture Capital,Consumer Products and Services (B2C)
Édifice,Thibaut de Roux,Venture Capital,Information Technology
Dotmap,Helen Ostrowski,Venture Capital,Consumer Products and Services (B2C)
Aldoria,Svetoslava Georgivea,Venture Capital,Business Products and Services (B2B)
Aldoria,Arnaud Delattre,Venture Capital,Business Products and Services (B2B)
Kiln (Paris),Christopher Heymann,Venture Capital,Information Technology
Kiln (Paris),Charlton Hook,Venture Capital,Information Technology
Kinvent,Raphael Varane,Angel (individual),Healthcare
Scalingo,Vanessa Proust,Venture Capital,Information Technology
Electra (Utilities),Xavier Lorphelin,Venture Capital,Energy
Illumo Robotics,Carlos Blanco,Venture Capital,Information Technology
Groover,Stéphanie Hospital,Venture Capital,Business Products and Services (B2B)
Listn (Media and Information Services (B2B)),Candice Baudet,Venture Capital,Business Products and Services (B2B)
Nabla,Anthony Fadell,Angel (individual),Healthcare
Nabla,Jacobo Abitbol,Venture Capital,Healthcare
Nabla,Rachel Delacour,Angel (individual),Healthcare
Nabla,Rodolphe Saadé,Angel (individual),Healthcare
Nabla,Xavier Niel,Angel (individual),Healthcare
WinShot,Dhekra Khelifi,Venture Capital,Information Technology
WinShot,Saad Mohamed,Angel (individual),Information Technology
ENYO Pharma,Jason Dinges,Venture Capital,Healthcare
CERENE (Clinics/Outpatient Services),Antoine Fine,Venture Capital,Healthcare
Iceblock,Douglas Abrams,Venture Capital,Financial Services
Osol,Maxime Paradis,Angel (individual),Business Products and Services (B2B)
Avatar Medical,Frederic Le Brun,Venture Capital,Healthcare
Kosmik,Amjad Masad,Angel (individual),Information Technology
Kosmik,Andrew Sutherland,Angel (individual),Information Technology
Singulier,Marc Menasé,Venture Capital,Business Products and Services (B2B)
Velco,Herve Bachelot Lallier,Venture Capital,Information Technology
Bellevilles,Olivier Legrain,Angel (individual),Consumer Products and Services (B2C)
Pivot (Business/Productivity Software),Oliver Samwer,Angel (individual),Information Technology
I-Virtual,Céline Passedouet,Venture Capital,Healthcare
QiOVA,Pierre-Antoine Cognard,Venture Capital,Business Products and Services (B2B)
Eligo Bioscience,Samir Kaul,Venture Capital,Healthcare
Tenacy,William Lecat,Venture Capital,Information Technology
Tenacy,Mathieu Viallard,Venture Capital,Information Technology
Tenacy,Jordan Rivieri,Venture Capital,Information Technology
Tenacy,Pierre-Antoine Cognard,Venture Capital,Information Technology
Adionics,Marine Glon,Venture Capital,Business Products and Services (B2B)
AQEMIA,Sofia Dahoune,Venture Capital,Healthcare
Waltio,Clément Coeurdeuil,Angel (individual),Information Technology
Waltio,Joan Burkovic,Angel (individual),Information Technology
Waltio,Julien Bouteloup,Angel (individual),Information Technology
Waltio,Owen Simonin,Angel (individual),Information Technology
Karos,Jean-Marc Bally,Venture Capital,Consumer Products and Services (B2C)
Obat,Jean De La Rochebrochard,Venture Capital,Information Technology
Callyope,Thomas Clozel,Angel (individual),Healthcare
Wealthcome,Alexandre Lacharme,Angel (individual),Information Technology
Wealthcome,Antoine Darcet,Angel (individual),Information Technology
Wealthcome,Morgan Emmery,Angel (individual),Information Technology
Wealthcome,Olivier Agnola,Angel (individual),Information Technology
RED Horticulture,Stephane Roussel,Venture Capital,Business Products and Services (B2B)
Malou,Bertrand Jelensperger,Angel (individual),Information Technology
Malou,Mick Mackaay,Venture Capital,Information Technology
Le Fourgon,Herve Cuviliez,Venture Capital,Information Technology
Defacto (Financial Software),David Sainteff,Venture Capital,Information Technology
Defacto (Financial Software),Jonathan Userovici,Venture Capital,Information Technology
Defacto (Financial Software),Kilian Pender,Venture Capital,Information Technology
Jimini,Cecile Tharaud,Venture Capital,Information Technology
Cognitive Design Systems,Bertrand Mueller,Venture Capital,Information Technology
Flatsy,Didier Le Menestrel,Angel (individual),Information Technology
Praditus,Antoine Houël,Angel (individual),Information Technology
Praditus,Philippe Plichon,Angel (individual),Information Technology
Numalis,Laure de Buyer,Venture Capital,Information Technology
Quandela,Maxence Valero,Venture Capital,Information Technology
Quandela,Svetoslava Georgivea,Venture Capital,Information Technology
Quandela,Christophe Jurczak,Venture Capital,Information Technology
Flitter,Adrien Montfort,Angel (individual),Financial Services
Flitter,Christophe Eberlé,Angel (individual),Financial Services
Flitter,Michael Wieser,Venture Capital,Financial Services
Flitter,Laurent Ritter,Angel (individual),Financial Services
Flitter,Stéphane Treppoz,Angel (individual),Financial Services
Goodvest,Arnaud Giraudon,Angel (individual),Information Technology
Goodvest,Christophe de Backer,Angel (individual),Information Technology
CryptoNext,Olivier Tonneau,Venture Capital,Information Technology
Koyeb,Alexis Le-Quoc,Angel (individual),Information Technology
Koyeb,Amirhossein Malekzadeh,Angel (individual),Information Technology
Koyeb,Bertrand Diard,Angel (individual),Information Technology
Koyeb,Fabrice Bernhard,Angel (individual),Information Technology
Koyeb,Floriane De Maupeou,Angel (individual),Information Technology
Koyeb,Hank Vigil,Angel (individual),Information Technology
Koyeb,Justin Ziegler,Angel (individual),Information Technology
Koyeb,Marc Jalabert,Angel (individual),Information Technology
Koyeb,Philippe Besnard,Angel (individual),Information Technology
Koyeb,Robin Vasan,Angel (individual),Information Technology
Koyeb,Udi Nachmany,Angel (individual),Information Technology
Alice & Bob,Eric Boustouller,Venture Capital,Information Technology
Vestiaire Collective,Guido Williams,Angel (individual),Consumer Products and Services (B2C)
My Easy Transfer,Dhekra Khelifi,Venture Capital,Information Technology
Silbo,Christophe Boutin,Angel (individual),Healthcare
Wind My Roof,Antoine Fuentes,Angel (individual),Energy
Wheere,Adrien Montfort,Angel (individual),Information Technology
Aria (Financial Software),Michael McFadgen,Venture Capital,Information Technology
Aria (Financial Software),Guillaume Princen,Angel (individual),Information Technology
